Name,State,Type,Residential customers,Revenue,Power generated,Power bought,Power in,Summer demand,Winter demand
Village of Freeport - (NY),NY,Municipal,12928,34074.0,31785.0,261412.0,293197.0,58.1,47.9
Iowa Lakes Electric Coop,IA,Cooperative,9247,63818.7,0.0,642428.0,642428.0,99.5,108.3
"XOOM Energy Maine, LLC",NC,Retail Power Marketer,1407,1352.0,0.0,14347.0,14347.0,0.0,0.0
City of Marblehead - (MA),MA,Municipal,9653,16117.0,13.0,107586.0,107599.0,27.5,22.2
City of Milford - (DE),DE,Municipal,5916,24967.9,0.0,219353.0,219353.0,31.7,41.4
Fairmont Public Utilities Comm,MN,Municipal,4977,15680.2,0.0,151629.0,151629.0,28.7,21.6
SE-MA-NO Electric Coop,MO,Cooperative,5713,9395.0,0.0,106927.0,106927.0,25.5,24.9
Callaway Electric Cooperative,MO,Cooperative,12146,26546.0,0.0,218467.0,218467.0,50.7,59.3
City of Pella - (IA),IA,Municipal,4133,20925.5,1976.0,205306.0,207282.0,42.9,30.9
"Tombigbee Electric Coop, Inc",AL,Cooperative,8132,14810.0,0.0,121131.0,121131.0,30.8,35.9
Juneau Utility Comm,WI,Municipal,942,4404.6,0.0,46561.0,46561.0,9.4,6.8
Lyon Rural Electric Coop,IA,Cooperative,2128,10864.0,0.0,119254.0,119254.0,18.6,20.6
Page Utility Enterprises,AZ,Municipal,3190,8722.3,120.0,111752.0,111872.0,24.9,23.8
Clarksdale Public Utilities,MS,Municipal,5348,15573.0,152.0,156418.0,156570.0,37.0,22.0
Tongue River Electric Coop Inc,MT,Cooperative,4272,13174.0,0.0,108460.0,108460.0,19.5,20.4
Custer Public Power District,NE,Political Subdivision,4625,29737.0,0.0,258253.0,258253.0,120.0,31.0
"Union Rural Electric Coop, Inc",OH,Cooperative,9507,53772.1,0.0,528569.0,528569.0,104.2,85.3
Dixie Electric Coop,AL,Cooperative,19952,59409.0,0.0,523710.0,523710.0,119.4,108.9
City of Washington - (NC),NC,Municipal,11245,33891.6,0.0,288438.0,288438.0,66.4,63.5
City of South Haven - (MI),MI,Municipal,7086,16075.8,0.0,144045.0,144045.0,30.6,20.4
City of Cheney - (WA),WA,Municipal,5268,9044.5,0.0,142859.0,142859.0,28.6,21.2
Jasper County Rural E M C,IN,Cooperative,7646,24047.8,0.0,230769.0,230769.0,54.1,33.6
Columbia River Peoples Ut Dist,OR,Political Subdivision,16583,34127.4,0.0,519931.0,519931.0,85.2,101.8
City of Lewisburg - (TN),TN,Municipal,4627,26792.9,0.0,340458.0,340458.0,59.6,53.8
Fitzgerald Wtr Lgt & Bond Comm,GA,Municipal,5074,21632.0,0.0,189665.0,189665.0,37.4,39.6
"Buckeye Rural Elec Coop, Inc",OH,Cooperative,17865,38276.2,0.0,251888.0,251888.0,54.0,64.0
City of Radford - (VA),VA,Municipal,6529,18936.0,0.0,178609.0,178609.0,32.4,37.1
Chippewa Valley Electric Coop,WI,Cooperative,6968,14084.3,0.0,104617.0,104617.0,22.1,23.6
OnPAC Energy,TX,Retail Power Marketer,1003,4363.1,0.0,74276.0,74276.0,11.0,9.0
"Palmco Power CT, LLC",NY,Retail Power Marketer,826,493.7,0.0,4242.0,4242.0,0.0,0.0
City of Ord - (NE),NE,Municipal,1129,3630.0,0.0,36431.0,36431.0,7.0,10.0
Hustisford Utilities,WI,Municipal,1343,2332.3,0.0,18703.0,18703.0,3.9,3.4
Town of Wakefield - (MA),MA,Municipal,11106,27077.0,0.0,190423.0,190423.0,44.5,34.6
Los Alamos County,NM,Municipal,7875,38345.2,335437.0,292870.0,628307.0,89.4,85.2
City of College Park - (GA),GA,Municipal,6697,28608.1,0.0,288327.0,288327.0,51.1,48.3
City of Laurens - (SC),SC,Municipal,4448,14489.0,0.0,111098.0,111098.0,25.0,20.7
City of Story City - (IA),IA,Municipal,1695,5292.0,102.0,60038.0,60140.0,13.4,8.2
Bear Valley Electric Service,CA,Investor Owned,22470,34098.4,254.0,147540.0,147794.0,25.5,40.5
